Japanese,English
Arigatou,Thank you
Konnichiwa, Hello
Baka, Idiot
Yamero,Stop it
Daijoubu,I'm fine / Okay
Senpai, Senior
Sensei,Teacher
Onii-chan,Big brother
Kawaii, Cute
Nakama, Comrade
Ryouiki Tenkai, Domain Expansion
Ganbare Ganbare, Do your best
Yamete Kudasai, Please stop
Tatakai, Fight
Dattebayo, Believe it!
Hisashiburi da ne, Long time no see
Yokoso Soru Sosaeti e,Welcome to Soul Society
Nani mo... Nakatta, Nothing happened
Ore no namae wa Monkey D. Luffy da!, My name is Monkey D. Luffy!
Kaizoku ni ore wa naru!, I will become the Pirate King!
